iter	Passed	Remaining
884	11000	1429
885	11009	1416
886	11018	1403
887	11026	1390
888	11035	1377
889	11044	1365
890	11054	1352
891	11063	1339
892	11072	1326
893	11082	1314
894	11091	1301
895	11102	1288
896	11111	1275
897	11118	1262
898	11128	1250
899	11137	1237
900	11146	1224
901	11157	1212
902	11167	1199
903	11179	1187
904	11188	1174
905	11196	1161
906	11205	1148
907	11214	1136
908	11223	1123
909	11232	1110
910	11241	1098
911	11252	1085
912	11261	1073
913	11269	1060
914	11279	1047
915	11288	1035
916	11297	1022
917	11306	1009
918	11321	997
919	11347	986
920	11363	974
921	11377	962
922	11389	950
923	11400	937
924	11414	925
925	11428	913
926	11441	901
927	11451	888
928	11462	876
929	11471	863
930	11480	850
931	11489	838
932	11498	825
933	11507	813
934	11516	800
935	11527	788
936	11538	775
937	11547	763
938	11557	750
939	11566	738
940	11575	725
941	11585	713
942	11594	700
943	11602	688
944	11611	675
945	11620	663
946	11629	650
947	11638	638
948	11646	625
949	11655	613
950	11665	601
951	11675	588
952	11686	576
953	11695	563
954	11705	551
955	11714	539
956	11724	526
957	11734	514
958	11745	502
959	11754	489
960	11763	477
961	11773	465
962	11782	452
963	11790	440
964	11800	427
965	11808	415
966	11818	403
967	11827	390
968	11837	378
969	11846	366
970	11856	354
971	11865	341
972	11875	329
973	11886	317
974	11895	305
975	11905	292
976	11914	280
977	11923	268
978	11933	255
979	11944	243
980	11958	231
981	11969	219
982	11977	207
983	11987	194
984	11997	182
985	12006	170
986	12016	158
987	12025	146
988	12034	133
989	12044	121
990	12054	109
991	12064	97
992	12073	85
993	12085	72
994	12095	60
995	12103	48
996	12113	36
997	12122	24
998	12132	12
999	12142	0
