iter	Passed	Remaining
640	8768	4911
641	8780	4896
642	8792	4881
643	8805	4867
644	8816	4852
645	8828	4838
646	8841	4823
647	8852	4808
648	8865	4794
649	8877	4780
650	8889	4765
651	8900	4750
652	8913	4736
653	8924	4721
654	8936	4706
655	8949	4692
656	8961	4678
657	8973	4663
658	8985	4649
659	8996	4634
660	9008	4620
661	9022	4606
662	9035	4592
663	9047	4578
664	9058	4563
665	9072	4550
666	9085	4535
667	9097	4521
668	9109	4506
669	9122	4493
670	9137	4480
671	9150	4466
672	9162	4451
673	9173	4437
674	9186	4423
675	9200	4409
676	9214	4396
677	9231	4384
678	9248	4372
679	9265	4360
680	9282	4348
681	9298	4335
682	9314	4323
683	9326	4308
684	9343	4296
685	9356	4282
686	9369	4268
687	9381	4254
688	9393	4240
689	9406	4225
690	9417	4211
691	9429	4196
692	9441	4182
693	9454	4168
694	9465	4153
695	9477	4139
696	9489	4125
697	9502	4111
698	9515	4097
699	9527	4083
700	9539	4069
701	9553	4055
702	9568	4042
703	9581	4028
704	9593	4014
705	9605	4000
706	9617	3985
707	9630	3971
708	9642	3957
709	9653	3943
710	9665	3928
711	9678	3914
712	9690	3900
713	9702	3886
714	9713	3871
715	9725	3857
716	9740	3844
717	9755	3831
718	9769	3817
719	9782	3804
720	9796	3791
721	9809	3776
722	9821	3762
723	9834	3749
724	9846	3734
725	9858	3720
726	9871	3706
727	9884	3693
728	9897	3679
729	9909	3665
730	9920	3650
731	9933	3636
732	9947	3623
733	9962	3610
734	9976	3596
735	9991	3583
736	10005	3570
737	10020	3557
738	10033	3543
739	10046	3529
740	10059	3516
741	10071	3502
742	10085	3488
743	10097	3474
744	10111	3460
745	10123	3446
746	10138	3433
747	10150	3419
748	10163	3406
749	10176	3392
750	10191	3379
751	10206	3366
752	10222	3353
753	10239	3340
754	10253	3327
755	10267	3313
756	10279	3299
757	10291	3285
758	10303	3271
759	10317	3258
760	10331	3244
761	10345	3231
762	10359	3217
763	10371	3203
764	10385	3190
765	10398	3176
766	10410	3162
767	10422	3148
768	10434	3134
769	10445	3120
770	10461	3107
771	10475	3093
772	10491	3080
773	10507	3068
774	10522	3055
775	10535	3041
776	10547	3027
777	10560	3013
778	10573	2999
779	10584	2985
780	10597	2971
781	10610	2957
782	10624	2944
783	10636	2930
784	10649	2916
